[CONFIG] distributed init (local rank 2)
[CONFIG] Let's use 4 GPUs!
115495 queries in the dataset
5732 queries in the dataset
load initial weights!
None
epoch: 1
train_file: trainstreetlearnU_cmu5kU
val_file: hudsonriver5kU
distributed: True
val_distributed: False
syncBN: False
use_amp: False
share: True
seed: 1
port: 12364
feat_dim: 4096
margin: 0.07
optimizer: SAM
wd: 0.03
epochs: 60
lr: 0.0001
scheduler: CosineAnnealingLR
pre_model_name: resnetsafa_dgcnn_asam_2to3_up
num_layers: 1
num_heads: 8
seq_len: 10
model_type: transmixer_mask
w: 5
pool: avg_pool
max_masked: 9
special_mask: False
rank: 0
world_size: 4
gpu: 0
device: cuda:0
dist_backend: nccl
dist_url: env://
log: True

115495 queries in the dataset
5732 queries in the dataset
Using 8 dataloader workers every process
Model device: cuda:0
Model name: model_20240105_0136
Number of model parameters: 5255168
load initial weights!
Epoch[1-375]	loss: 0.0106	total loss: 0.0106
Epoch[1-376]	loss: 0.0061	total loss: 0.0061
Epoch[1-377]	loss: 0.0037	total loss: 0.0037
Epoch[1-378]	loss: 0.0105	total loss: 0.0105
Epoch[1-379]	loss: 0.0138	total loss: 0.0138
Epoch[1-380]	loss: 0.0101	total loss: 0.0101
Epoch[1-381]	loss: 0.0040	total loss: 0.0040
Epoch[1-382]	loss: 0.0021	total loss: 0.0021
Epoch[1-383]	loss: 0.0058	total loss: 0.0058
Epoch[1-384]	loss: 0.0033	total loss: 0.0033
Epoch[1-385]	loss: 0.0042	total loss: 0.0042
Epoch[1-386]	loss: 0.0032	total loss: 0.0032
Epoch[1-387]	loss: 0.0033	total loss: 0.0033
Epoch[1-388]	loss: 0.0026	total loss: 0.0026
Epoch[1-389]	loss: 0.0035	total loss: 0.0035
Epoch[1-390]	loss: 0.0107	total loss: 0.0107
Epoch[1-391]	loss: 0.0055	total loss: 0.0055
Epoch[1-392]	loss: 0.0068	total loss: 0.0068
Epoch[1-393]	loss: 0.0039	total loss: 0.0039
Epoch[1-394]	loss: 0.0119	total loss: 0.0119
Epoch[1-395]	loss: 0.0066	total loss: 0.0066
Epoch[1-396]	loss: 0.0184	total loss: 0.0184
Epoch[1-397]	loss: 0.0034	total loss: 0.0034
Epoch[1-398]	loss: 0.0071	total loss: 0.0071
Epoch[1-399]	loss: 0.0035	total loss: 0.0035
Epoch[1-400]	loss: 0.0028	total loss: 0.0028
Epoch[1-401]	loss: 0.0063	total loss: 0.0063
Epoch[1-402]	loss: 0.0046	total loss: 0.0046
Epoch[1-403]	loss: 0.0031	total loss: 0.0031
Epoch[1-404]	loss: 0.0030	total loss: 0.0030
Epoch[1-405]	loss: 0.0061	total loss: 0.0061
